PLAYER,TEAM,Isolation,P&R Handler,P&R Roll,Transition,Post Up,Spot Up,HandOff,Cut,Season,Cluster
RJ Barrett,NYK,0.065,0.277,0.0,0.209,0.037,0.193,0.069,0.042,2020,1
Aaron Gordon,ORL,0.055,0.136,0.026,0.166,0.147,0.158,0.058,0.084,2020,1
T.J. McConnell,IND,0.049,0.454,0.0,0.193,0.0,0.115,0.03,0.049,2020,4
Joe Ingles,UTA,0.05,0.416,0.0,0.123,0.0,0.199,0.073,0.0,2020,4
Kendrick Nunn,MIA,0.05,0.337,0.0,0.147,0.0,0.18,0.115,0.041,2020,4
Rui Hachimura,WAS,0.059,0.023,0.095,0.207,0.098,0.228,0.0,0.147,2020,5
Roodney Hood,POR,0.119,0.124,0.0,0.144,0.114,0.337,0.0,0.0,2020,0
De'Andre Hunter,ATL,0.04,0.19,0.032,0.14,0.022,0.342,0.074,0.026,2020,1
Jordan Mcrae,HOU,0.097,0.327,0.0,0.186,0.0,0.204,0.056,0.0,2020,4
Jeremy Lamb,CHA,0.073,0.35,0.0,0.135,0.0,0.205,0.076,0.026,2020,4
Evan Fournier,ORL,0.038,0.318,0.0,0.132,0.0,0.174,0.117,0.034,2020,4
Miles Bridges,CHA,0.049,0.073,0.059,0.149,0.078,0.37,0.031,0.051,2020,0
Taurean Prince,BKN,0.045,0.074,0.04,0.186,0.0,0.421,0.049,0.018,2020,0
Norman Powell,TOR,0.026,0.143,0.0,0.293,0.0,0.27,0.038,0.046,2020,1
Markelle Fultz,ORL,0.02,0.441,0.0,0.165,0.019,0.143,0.069,0.045,2020,4
J.J. Redick,NOP,0.021,0.129,0.017,0.178,0.0,0.165,0.145,0.0,2020,1
Donte Divincenzo,MIL,0.039,0.194,0.0,0.241,0.0,0.212,0.08,0.074,2020,1
Danuel House jr.,HOU,0.017,0.025,0.067,0.255,0.0,0.448,0.029,0.063,2020,0
Danny Green,LAL,0.0,0.031,0.0,0.255,0.0,0.403,0.034,0.058,2020,0
Justin Holiday,IND,0.0,0.049,0.0,0.225,0.0,0.363,0.049,0.056,2020,0
